,Unnamed: 0,Rank by Population,City,State,Population,Change,Area,Population Density
0,0,1,New York[d],New York,8804190.0,-3.82,300.5,29298.0
1,1,2,Los Angeles,California,3898747.0,-1.27,469.5,8304.0
2,2,3,Chicago,Illinois,2746388.0,-1.81,227.7,12061.0
3,3,4,Houston,Texas,2304580.0,-0.71,640.4,3599.0
4,4,5,Phoenix,Arizona,1608139.0,1.02,518.0,3105.0
5,5,6,Philadelphia[e],Pennsylvania,1603797.0,-1.72,134.4,11933.0
6,6,7,San Antonio,Texas,1434625.0,1.2,498.8,2876.0
7,7,8,San Diego,California,1386932.0,-0.38,325.9,4256.0
8,8,9,Dallas,Texas,1304379.0,-1.22,339.6,3841.0
9,9,10,San Jose,California,1013240.0,-2.94,178.3,5683.0
10,10,11,Austin,Texas,961855.0,0.24,319.9,3007.0
11,11,12,Jacksonville[f],Florida,949611.0,0.53,747.3,1271.0
12,12,13,Fort Worth,Texas,918915.0,1.81,347.3,2646.0
13,13,14,Columbus,Ohio,905748.0,0.09,220.0,4117.0
14,14,15,Indianapolis[g],Indiana,887642.0,-0.63,361.6,2455.0
15,15,16,Charlotte,North Carolina,874579.0,0.59,308.3,2837.0
16,16,17,San Francisco[h],California,873965.0,-6.72,46.9,18635.0
17,17,18,Seattle,Washington,737015.0,-0.42,83.8,8795.0
18,18,19,Denver[i],Colorado,715522.0,-0.57,153.1,4674.0
19,19,20,Oklahoma City,Oklahoma,681054.0,0.98,606.2,1123.0
20,20,21,Nashville[j],Tennessee,689447.0,-1.54,475.8,1449.0
21,21,22,El Paso,Texas,678815.0,-0.06,258.4,2627.0
22,22,23,Washington[k],District of Columbia,689545.0,-2.83,61.1,11286.0
23,23,24,Boston,Massachusetts,675647.0,-3.09,48.3,13989.0
24,24,25,Las Vegas,Nevada,641903.0,0.76,141.8,4527.0
25,25,26,Portland,Oregon,652503.0,-1.74,133.5,4888.0
26,26,27,Detroit,Michigan,639111.0,-1.04,138.7,4608.0
27,27,28,Louisville[l],Kentucky,633045.0,-0.7,324.9,1948.0
28,28,29,Memphis,Tennessee,633104.0,-0.79,297.0,2132.0
29,29,30,Baltimore[m],Maryland,585708.0,-1.57,80.9,7240.0
30,30,31,Milwaukee,Wisconsin,577222.0,-1.37,96.2,6000.0
31,31,32,Albuquerque,New Mexico,564559.0,-0.35,187.3,3014.0
32,32,33,Fresno,California,542107.0,0.44,115.2,4706.0
33,33,34,Tucson,Arizona,542629.0,0.11,241.0,2252.0
34,34,35,Sacramento,California,524943.0,0.02,98.6,5324.0
35,35,36,Mesa,Arizona,504258.0,1.03,138.7,3636.0
36,36,37,Kansas City,Missouri,508090.0,0.06,314.7,1615.0
37,37,38,Atlanta,Georgia,498715.0,-0.45,135.3,3686.0
38,38,39,Omaha,Nebraska,486051.0,0.26,141.6,3433.0
39,39,40,Colorado Springs,Colorado,478961.0,1.04,195.4,2451.0
40,40,41,Raleigh,North Carolina,467665.0,0.31,147.1,3179.0
41,41,42,Virginia Beach[m],Virginia,459470.0,-0.39,244.7,1878.0
